id,year,category,full_name,laureate_type,prize_share,prize,motivation,laureate_id,birth_date,birth_city,birth_country,sex,organization_name,organization_city,organization_country,death_date,death_city,death_country
933,1977,Physiology or Medicine,Rosalyn Yalow,Individual,1/2,The Nobel Prize in Physiology or Medicine 1977,"""for the development of radioimmunoassays of peptide hormones""",413.0,1921-07-19,"New York, NY",United States of America,Female,Veterans Administration Hospital,"Bronx, NY",United States of America,2011-05-30,"New York, NY",United States of America
934,1978,Physiology or Medicine,Werner Arber,Individual,1/3,The Nobel Prize in Physiology or Medicine 1978,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",414.0,1929-06-03,Gränichen,Switzerland,Male,Biozentrum der Universität,Basel,Switzerland,N/A,N/A,N/A
935,1978,Physiology or Medicine,Daniel Nathans,Individual,1/3,The Nobel Prize in Physiology or Medicine 1978,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",415.0,1928-10-30,"Wilmington, DE",United States of America,Male,Johns Hopkins University School of Medicine,"Baltimore, MD",United States of America,1999-11-16,"Baltimore, MD",United States of America
936,1978,Physiology or Medicine,Hamilton O. Smith,Individual,1/3,The Nobel Prize in Physiology or Medicine 1978,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",416.0,1931-08-23,"New York, NY",United States of America,Male,Johns Hopkins University School of Medicine,"Baltimore, MD",United States of America,N/A,N/A,N/A
937,1979,Physiology or Medicine,Allan M. Cormack,Individual,1/2,The Nobel Prize in Physiology or Medicine 1979,"""for the development of computer assisted tomography""",417.0,1924-02-23,Johannesburg,South Africa,Male,Tufts University,"Medford, MA",United States of America,1998-05-07,"Winchester, MA",United States of America
938,1979,Physiology or Medicine,Godfrey N. Hounsfield,Individual,1/2,The Nobel Prize in Physiology or Medicine 1979,"""for the development of computer assisted tomography""",418.0,1919-08-28,Newark,United Kingdom,Male,"Central Research Laboratories, EMI",London,United Kingdom,2004-08-12,Kingston upon Thames,United Kingdom
939,1980,Physiology or Medicine,Baruj Benacerraf,Individual,1/3,The Nobel Prize in Physiology or Medicine 1980,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",419.0,1920-10-29,Caracas,Venezuela,Male,Harvard Medical School,"Boston, MA",United States of America,2011-08-02,"Boston, MA",United States of America
940,1980,Physiology or Medicine,Jean Dausset,Individual,1/3,The Nobel Prize in Physiology or Medicine 1980,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",420.0,1916-10-19,Toulouse,France,Male,"Université de Paris, Laboratoire Immuno-Hématologie",Paris,France,2009-06-06,"Palma, Majorca",Spain
941,1980,Physiology or Medicine,George D. Snell,Individual,1/3,The Nobel Prize in Physiology or Medicine 1980,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",421.0,1903-12-19,"Bradford, MA",United States of America,Male,Jackson Laboratory,"Bar Harbor, ME",United States of America,1996-06-06,"Bar Harbor, ME",United States of America
942,1981,Physiology or Medicine,Roger W. Sperry,Individual,1/2,The Nobel Prize in Physiology or Medicine 1981,"""for his discoveries concerning the functional specialization of the cerebral hemispheres""",422.0,1913-08-20,"Hartford, CT",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,1994-04-17,"Pasadena, CA",United States of America
943,1981,Physiology or Medicine,David H. Hubel,Individual,1/4,The Nobel Prize in Physiology or Medicine 1981,"""for their discoveries concerning information processing in the visual system""",423.0,1926-02-27,"Windsor, ON",Canada,Male,Harvard Medical School,"Boston, MA",United States of America,2013-09-22,"Lincoln, MA",United States of America
944,1981,Physiology or Medicine,Torsten N. Wiesel,Individual,1/4,The Nobel Prize in Physiology or Medicine 1981,"""for their discoveries concerning information processing in the visual system""",424.0,1924-06-03,Uppsala,Sweden,Male,Harvard Medical School,"Boston, MA",United States of America,N/A,N/A,N/A
945,1982,Physiology or Medicine,Sune K. Bergström,Individual,1/3,The Nobel Prize in Physiology or Medicine 1982,"""for their discoveries concerning prostaglandins and related biologically active substances""",425.0,1916-01-10,Stockholm,Sweden,Male,Karolinska Institutet,Stockholm,Sweden,2004-08-15,Stockholm,Sweden
946,1982,Physiology or Medicine,Bengt I. Samuelsson,Individual,1/3,The Nobel Prize in Physiology or Medicine 1982,"""for their discoveries concerning prostaglandins and related biologically active substances""",426.0,1934-05-21,Halmstad,Sweden,Male,Karolinska Institutet,Stockholm,Sweden,N/A,N/A,N/A
947,1982,Physiology or Medicine,John R. Vane,Individual,1/3,The Nobel Prize in Physiology or Medicine 1982,"""for their discoveries concerning prostaglandins and related biologically active substances""",427.0,1927-03-29,Tardebigg,United Kingdom,Male,The Wellcome Research Laboratories,Beckenham,United Kingdom,2004-11-19,Farnborough,United Kingdom
948,1983,Physiology or Medicine,Barbara McClintock,Individual,1/1,The Nobel Prize in Physiology or Medicine 1983,"""for her discovery of mobile genetic elements""",428.0,1902-06-16,"Hartford, CT",United States of America,Female,Cold Spring Harbor Laboratory,"Cold Spring Harbor, NY",United States of America,1992-09-02,"Huntington, NY",United States of America
949,1984,Physiology or Medicine,Niels K. Jerne,Individual,1/3,The Nobel Prize in Physiology or Medicine 1984,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",429.0,1911-12-23,London,United Kingdom,Male,Basel Institute for Immunology,Basel,Switzerland,1994-10-07,Castillon-du-Gard,France
950,1984,Physiology or Medicine,Georges J.F. Köhler,Individual,1/3,The Nobel Prize in Physiology or Medicine 1984,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",430.0,1946-04-17,Munich,Germany,Male,Basel Institute for Immunology,Basel,Switzerland,1995-03-01,Freiburg im Breisgau,Germany
951,1984,Physiology or Medicine,César Milstein,Individual,1/3,The Nobel Prize in Physiology or Medicine 1984,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",431.0,1927-10-08,Bahia Blanca,Argentina,Male,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,2002-03-24,Cambridge,United Kingdom
952,1985,Physiology or Medicine,Michael S. Brown,Individual,1/2,The Nobel Prize in Physiology or Medicine 1985,"""for their discoveries concerning the regulation of cholesterol metabolism""",432.0,1941-04-13,"New York, NY",United States of America,Male,University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",United States of America,N/A,N/A,N/A
953,1985,Physiology or Medicine,Joseph L. Goldstein,Individual,1/2,The Nobel Prize in Physiology or Medicine 1985,"""for their discoveries concerning the regulation of cholesterol metabolism""",433.0,1940-04-18,"Sumter, SC",United States of America,Male,University of Texas Southwestern Medical Center at Dallas,"Dallas, TX",United States of America,N/A,N/A,N/A
954,1986,Physiology or Medicine,Stanley Cohen,Individual,1/2,The Nobel Prize in Physiology or Medicine 1986,"""for their discoveries of growth factors""",434.0,1922-11-17,"Brooklyn, NY",United States of America,Male,Vanderbilt University School of Medicine,"Nashville, TN",United States of America,N/A,N/A,N/A
955,1986,Physiology or Medicine,Rita Levi-Montalcini,Individual,1/2,The Nobel Prize in Physiology or Medicine 1986,"""for their discoveries of growth factors""",435.0,1909-04-22,Turin,Italy,Female,Institute of Cell Biology of the C.N.R.,Rome,Italy,2012-12-30,Rome,Italy
956,1987,Physiology or Medicine,Susumu Tonegawa,Individual,1/1,The Nobel Prize in Physiology or Medicine 1987,"""for his discovery of the genetic principle for generation of antibody diversity""",436.0,1939-09-06,Nagoya,Japan,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,N/A,N/A,N/A
957,1988,Physiology or Medicine,Sir James W. Black,Individual,1/3,The Nobel Prize in Physiology or Medicine 1988,"""for their discoveries of important principles for drug treatment""",437.0,1924-06-14,Uddingston,Scotland,Male,"London University, King's College Hospital Medical School",London,United Kingdom,2010-03-21,N/A,N/A
958,1988,Physiology or Medicine,Gertrude B. Elion,Individual,1/3,The Nobel Prize in Physiology or Medicine 1988,"""for their discoveries of important principles for drug treatment""",438.0,1918-01-23,"New York, NY",United States of America,Female,Wellcome Research Laboratories,"Research Triangle Park, NC",United States of America,1999-02-21,"Chapel Hill, NC",United States of America
959,1988,Physiology or Medicine,George H. Hitchings,Individual,1/3,The Nobel Prize in Physiology or Medicine 1988,"""for their discoveries of important principles for drug treatment""",439.0,1905-04-18,"Hoquiam, WA",United States of America,Male,Wellcome Research Laboratories,"Research Triangle Park, NC",United States of America,1998-02-27,"Chapel Hill, NC",United States of America
960,1989,Physiology or Medicine,J. Michael Bishop,Individual,1/2,The Nobel Prize in Physiology or Medicine 1989,"""for their discovery of the cellular origin of retroviral oncogenes""",440.0,1936-02-22,"York, PA",United States of America,Male,University of California School of Medicine,"San Francisco, CA",United States of America,N/A,N/A,N/A
961,1989,Physiology or Medicine,Harold E. Varmus,Individual,1/2,The Nobel Prize in Physiology or Medicine 1989,"""for their discovery of the cellular origin of retroviral oncogenes""",441.0,1939-12-18,"Oceanside, NY",United States of America,Male,University of California School of Medicine,"San Francisco, CA",United States of America,N/A,N/A,N/A
962,1990,Physiology or Medicine,Joseph E. Murray,Individual,1/2,The Nobel Prize in Physiology or Medicine 1990,"""for their discoveries concerning organ and cell transplantation in the treatment of human disease""",442.0,1919-04-01,"Milford, MA",United States of America,Male,Brigham and Women's Hospital,"Boston, MA",United States of America,2012-11-26,"Boston, MA",United States of America
963,1990,Physiology or Medicine,E. Donnall Thomas,Individual,1/2,The Nobel Prize in Physiology or Medicine 1990,"""for their discoveries concerning organ and cell transplantation in the treatment of human disease""",443.0,1920-03-15,"Mart, TX",United States of America,Male,Fred Hutchinson Cancer Research Center,"Seattle, WA",United States of America,2012-10-20,"Seattle, WA",United States of America
964,1991,Physiology or Medicine,Erwin Neher,Individual,1/2,The Nobel Prize in Physiology or Medicine 1991,"""for their discoveries concerning the function of single ion channels in cells""",444.0,1944-03-20,Landsberg,Germany,Male,Max-Planck-Institut für Biophysikalische Chemie,Göttingen,Federal Republic of Germany,N/A,N/A,N/A
965,1991,Physiology or Medicine,Bert Sakmann,Individual,1/2,The Nobel Prize in Physiology or Medicine 1991,"""for their discoveries concerning the function of single ion channels in cells""",445.0,1942-06-12,Stuttgart,Germany,Male,Max-Planck-Institut für medizinische Forschung,Heidelberg,Federal Republic of Germany,N/A,N/A,N/A
966,1992,Physiology or Medicine,Edmond H. Fischer,Individual,1/2,The Nobel Prize in Physiology or Medicine 1992,"""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism""",446.0,1920-04-06,Shanghai,China,Male,University of Washington,"Seattle, WA",United States of America,N/A,N/A,N/A
967,1992,Physiology or Medicine,Edwin G. Krebs,Individual,1/2,The Nobel Prize in Physiology or Medicine 1992,"""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism""",447.0,1918-06-06,"Lansing, IA",United States of America,Male,University of Washington,"Seattle, WA",United States of America,2009-12-21,"Seattle, WA",United States of America
968,1993,Physiology or Medicine,Richard J. Roberts,Individual,1/2,The Nobel Prize in Physiology or Medicine 1993,"""for their discoveries of split genes""",448.0,1943-09-06,Derby,United Kingdom,Male,New England Biolabs,"Beverly, MA",United States of America,N/A,N/A,N/A
969,1993,Physiology or Medicine,Phillip A. Sharp,Individual,1/2,The Nobel Prize in Physiology or Medicine 1993,"""for their discoveries of split genes""",449.0,1944-06-06,"Falmouth, KY",United States of America,Male,"Massachusetts Institute of Technology (MIT), Center for Cancer Research","Cambridge, MA",United States of America,N/A,N/A,N/A
